import time: self [us] | cumulative | imported package
import time:       140 |        140 |                     pandas.io.date_converters
import time:       505 |        644 |                   pandas.io.parsers.base_parser
import time:       231 |        231 |                   pandas.io.parsers.c_parser_wrapper
import time:       458 |        458 |                   pandas.io.parsers.python_parser
import time:      1618 |       2950 |                 pandas.io.parsers.readers
import time:       190 |       3139 |               pandas.io.parsers
import time:       290 |        290 |               pandas.io.excel._odfreader
import time:       349 |        349 |               pandas.io.excel._openpyxl
import time:       240 |        240 |               pandas.io.excel._pyxlsb
import time:       206 |        206 |               pandas.io.excel._xlrd
import time:      1016 |       6087 |             pandas.io.excel._base
import time:       220 |        220 |               pandas._libs.json
import time:       189 |        189 |                 pandas.io.formats._color_data
import time:       232 |        232 |                 pandas.io.formats.css
import time:       559 |        979 |               pandas.io.formats.excel
import time:       272 |       1470 |             pandas.io.excel._odswriter
import time:       262 |        262 |             pandas.io.excel._xlsxwriter
import time:       207 |        207 |             pandas.io.excel._xlwt
import time:       201 |       8225 |           pandas.io.excel
import time:       326 |        326 |           pandas.io.feather_format
import time:       160 |        160 |           pandas.io.gbq
import time:       685 |        685 |           pandas.io.html
import time:       577 |        577 |               pandas.io.json._normalize
import time:       211 |        211 |               pandas.io.json._table_schema
import time:      1013 |       1799 |             pandas.io.json._json
import time:       167 |       1965 |           pandas.io.json
import time:       147 |        147 |           pandas.io.orc
import time:       460 |        460 |           pandas.io.parquet
import time:       265 |        265 |             pandas.compat.pickle_compat
import time:       414 |        679 |           pandas.io.pickle
import time:       483 |        483 |             pandas.core.computation.pytables
import time:      1692 |       2174 |           pandas.io.pytables
import time:       221 |        221 |             pandas.io.sas.sasreader
import time:       159 |        380 |           pandas.io.sas
import time:       137 |        137 |           pandas.io.spss
import time:       733 |        733 |           pandas.io.sql
import time:      1454 |       1454 |           pandas.io.stata
import time:       692 |        692 |           pandas.io.xml
import time:       427 |      18781 |         pandas.io.api
import time:       154 |        154 |         pandas.util._tester
import time:       187 |        187 |               pandas._testing._random
import time:       214 |        214 |               pandas._testing.contexts
import time:       328 |        728 |             pandas._testing._io
import time:       595 |        595 |             pandas._testing._warnings
import time:       248 |        248 |                 cmath
import time:       261 |        508 |               pandas._libs.testing
import time:       323 |        831 |             pandas._testing.asserters
import time:       141 |        141 |             pandas._testing.compat
import time:       623 |       2915 |           pandas._testing
import time:       134 |       3049 |         pandas.testing
import time:       129 |        129 |         pandas._version
import time:       781 |     389365 |       pandas
import time:       165 |        165 |         concurrent
import time:       550 |        550 |           concurrent.futures._base
import time:       218 |        768 |         concurrent.futures
import time:       105 |        105 |           backports_abc
import time:      2253 |       2357 |         pyarrow._parquet
import time:       897 |        897 |               _ssl
import time:      2414 |       3310 |             ssl
import time:        57 |         57 |             pyarrow.collections
import time:        46 |         46 |             pyarrow.enum
import time:       775 |       4187 |           pyarrow._fs
import time:       307 |        307 |           pyarrow._hdfs
import time:        74 |         74 |             pyarrow.collections
import time:        47 |         47 |             pyarrow.enum
import time:       558 |        678 |           pyarrow._s3fs
import time:      1708 |       6879 |         pyarrow.fs
import time:       918 |      11085 |       pyarrow.parquet
import time:       522 |        522 |         pyarrow._csv
import time:       169 |        691 |       pyarrow.csv
import time:       298 |        298 |         pyarrow._json
import time:       145 |        443 |       pyarrow.json
import time:       255 |        255 |           loguru._defaults
import time:       328 |        328 |                 multiprocessing.process
import time:       232 |        232 |                   array
import time:       317 |        548 |                 multiprocessing.reduction
import time:       591 |       1466 |               multiprocessing.context
import time:       214 |       1679 |             multiprocessing
import time:       224 |        224 |                   asyncio.constants
import time:       136 |        136 |                       asyncio.format_helpers
import time:       253 |        389 |                     asyncio.base_futures
import time:       122 |        122 |                     asyncio.log
import time:       260 |        770 |                   asyncio.coroutines
import time:       205 |        205 |                       _contextvars
import time:       150 |        354 |                     contextvars
import time:       167 |        167 |                       asyncio.base_tasks
import time:       340 |        507 |                     _asyncio
import time:       553 |       1413 |                   asyncio.events
import time:       231 |        231 |                   asyncio.futures
import time:       214 |        214 |                   asyncio.protocols
import time:       269 |        269 |                     asyncio.transports
